start_node,end_node,start_lat,start_lon,end_lat,end_lon,length,duration,oneway
259436346,259436347,53.2113744,8.6479017,53.2124436,8.6489059,136.405,9.821159999999999,False
259436346,298262929,53.2113744,8.6479017,53.2111766,8.6477189,25.138,1.809936,False
259436347,259436348,53.2124436,8.6489059,53.2135868,8.6500115,146.898,10.576656,False
259436347,259436346,53.2124436,8.6489059,53.2113744,8.6479017,136.405,9.821159999999999,False
259436348,259436349,53.2135868,8.6500115,53.2154247,8.6517641,235.338,16.944336,False
259436348,259436347,53.2135868,8.6500115,53.2124436,8.6489059,146.898,10.576656,False
259436349,259436350,53.2154247,8.6517641,53.2158512,8.6521589,54.223,3.9040559999999997,False
259436349,259436348,53.2154247,8.6517641,53.2135868,8.6500115,235.338,16.944336,False
259436350,259436349,53.2158512,8.6521589,53.2154247,8.6517641,54.223,3.9040559999999997,False
259436350,259436351,53.2158512,8.6521589,53.216394,8.6528019,73.999,5.327927999999999,False
259436351,259436352,53.216394,8.6528019,53.2166788,8.6532123,41.828,5.01936,False
259436351,259436350,53.216394,8.6528019,53.2158512,8.6521589,73.999,5.327927999999999,False
259436352,4995541216,53.2166788,8.6532123,53.2171114,8.6541413,78.358,9.40296,False
259436352,259436351,53.2166788,8.6532123,53.216394,8.6528019,41.828,5.01936,False
259436353,259436354,53.2179154,8.6558486,53.2185818,8.6572531,119.312,14.31744,False
259436353,6181956614,53.2179154,8.6558486,53.2175906,8.6551626,58.228,6.98736,False
259436354,4995541353,53.2185818,8.6572531,53.2189625,8.6579954,65.073,7.808759999999999,False
259436354,259436353,53.2185818,8.6572531,53.2179154,8.6558486,119.312,14.31744,False
259436355,4995541217,53.2193524,8.6588076,53.2195092,8.6591446,28.415,3.4097999999999997,False
259436355,4995541213,53.2193524,8.6588076,53.2191424,8.6584052,35.539,4.26468,False
259436356,259436357,53.2200192,8.6602528,53.2203706,8.6609678,61.586,7.390319999999999,False
259436356,4995541217,53.2200192,8.6602528,53.2195092,8.6591446,93.057,11.166839999999999,False
259436357,259436358,53.2203706,8.6609678,53.220564,8.6612741,29.636,3.5563199999999995,False
259436357,259436356,53.2203706,8.6609678,53.2200192,8.6602528,61.586,7.390319999999999,False
259436358,4995541201,53.220564,8.6612741,53.2209964,8.6617466,57.457,6.894839999999999,False
259436358,259436357,53.220564,8.6612741,53.2203706,8.6609678,29.636,3.5563199999999995,False
259436359,3617534160,53.2210465,8.6618014,53.221649,8.6622328,72.892,8.747039999999998,False
259436359,4995541201,53.2210465,8.6618014,53.2209964,8.6617466,6.659,0.7990799999999999,False
259436363,3606045788,53.2205597,8.6726503,53.2211799,8.6725061,69.628,8.35536,False
259436363,4995541219,53.2205597,8.6726503,53.217426,8.6733985,351.995,42.239399999999996,False
259436587,259436588,53.2229912,8.6629977,53.223598,8.6633185,70.772,8.49264,False
259436587,3617534160,53.2229912,8.6629977,53.221649,8.6622328,157.694,18.92328,False
259436588,9401967127,53.223598,8.6633185,53.2240096,8.6634869,47.121,5.65452,False
259436588,259436587,53.223598,8.6633185,53.2229912,8.6629977,70.772,8.49264,False
259436589,1451131478,53.2260469,8.6641522,53.2268069,8.6643942,86.03,10.323599999999999,False
259436589,9401967121,53.2260469,8.6641522,53.2252939,8.6639221,85.119,10.214279999999999,False
259436590,9401967117,53.2271376,8.664495,53.2273691,8.6645701,26.223,3.1467599999999996,False
259436590,1451131478,53.2271376,8.664495,53.2268069,8.6643942,37.379,4.485479999999999,False
259436591,1300468114,53.2278721,8.6647295,53.2298858,8.6653868,228.148,27.37776,False
259436591,9401967117,53.2278721,8.6647295,53.2273691,8.6645701,56.929,6.83148,False
259437173,1593997374,53.2126598,8.6553849,53.2121984,8.6559822,64.917,4.674024,True
259437182,1593997371,53.2103721,8.6585779,53.2100689,8.6590366,45.494,3.275568,True
259562241,9401967121,53.2244651,8.663635,53.2252939,8.6639221,94.119,11.294279999999999,False
